,Batch,Eng7,Eng8,Eng9,Math7,Math8,Math9,Sci7,Sci8,Sci9,GWA7,GWA8,GWA9,UP,IQ,Target
62,2005,75,86.0,84,89,83,80.0,88,85,80,1.4953,1.5636,1.5574,1,88.0,1
63,2005,78,81.0,81,86,79,87.0,88,86,85,1.4811,1.4727,1.4426,1,57.0,1
64,2005,69,67.0,75,75,72,57.0,73,73,70,1.9858,2.0273,2.1311,0,67.0,0
65,2005,73,70.0,73,85,61,67.0,77,69,70,1.7358,2.0318,1.959,0,75.0,0
66,2005,75,80.0,68,83,72,68.0,87,81,77,1.6462,1.5818,1.8852,0,75.0,1
67,2005,74,78.0,75,79,67,61.0,83,77,69,1.7311,1.7636,1.9139,0,55.0,0
68,2005,74,81.0,75,78,78,70.0,83,80,72,1.7075,1.7591,1.9262,0,71.0,1
69,2005,59,55.0,55,61,55,57.0,71,64,62,2.3443,2.3818,2.4426,1,25.0,0
70,2005,75,84.0,82,85,80,76.0,84,85,74,1.6604,1.5455,1.8566,1,94.0,1
71,2005,58,52.0,55,50,47,53.0,69,50,51,2.4528,2.5909,2.6066,1,43.0,0
72,2005,81,88.0,87,78,76,79.0,90,84,79,1.5519,1.5182,1.5369,0,99.0,1
73,2005,70,81.0,73,72,67,69.0,80,75,68,1.9151,1.8182,1.9918,1,71.0,1
74,2005,68,70.0,74,83,69,87.0,85,75,82,1.7358,1.8682,1.6803,0,62.0,1
75,2005,48,52.0,54,52,49,56.0,58,55,52,2.6698,2.7455,2.6352,1,38.0,0
76,2005,82,86.0,86,85,85,89.0,93,93,91,1.4387,1.3818,1.3689,1,94.0,1
77,2005,55,54.0,59,64,51,57.0,59,62,63,2.4953,2.5455,2.5492,1,65.0,0
78,2005,79,80.0,80,78,77,79.0,84,78,74,1.5943,1.65,1.6598,0,86.0,1
79,2005,77,77.0,75,64,53,50.0,73,76,60,2.033,1.9636,2.2254,0,62.0,0
80,2005,75,78.0,82,66,67,73.0,79,74,76,2.0472,1.9,1.8279,1,84.0,1
81,2005,66,64.0,58,80,80,75.0,84,77,68,2.0189,1.9909,2.2541,1,77.0,1
82,2005,66,69.0,64,81,74,60.0,77,70,60,2.0802,2.1773,2.4385,1,71.0,0
83,2005,74,80.0,73,78,77,71.0,84,81,76,1.783,1.6545,1.8279,1,84.0,1
84,2005,61,62.0,58,56,53,51.0,64,61,54,2.5047,2.5091,2.5902,1,48.0,0
85,2005,62,56.0,60,63,56,51.0,68,64,64,2.2547,2.3545,2.3689,1,33.0,0
86,2005,73,67.0,65,83,68,76.0,84,73,64,1.6462,2.2404,2.3578,1,88.0,1
87,2005,60,62.0,59,60,55,59.0,74,56,56,2.3726,2.3682,2.3934,1,23.0,0
88,2005,58,48.0,63,66,62,55.0,60,59,51,2.5896,2.6045,2.5943,0,67.0,0
89,2005,49,50.0,54,59,53,55.0,55,51,55,2.6745,2.7545,2.6557,1,45.0,0
90,2005,59,49.0,63,54,41,53.0,58,57,55,2.6321,2.7727,2.6025,0,64.0,0
91,2005,84,89.0,87,93,92,98.0,92,92,90,1.3538,1.2955,1.2828,1,88.0,1
92,2005,71,79.0,72,82,72,73.0,85,81,72,1.8726,1.65,1.9057,1,71.0,0
93,2005,78,80.0,81,92,90,90.0,89,80,88,1.3821,1.5182,1.5246,0,84.0,1
94,2005,68,69.0,64,78,80,69.0,76,66,70,1.8962,1.9727,2.0738,1,48.0,0
95,2005,66,77.0,77,78,75,70.0,87,83,77,1.7594,1.8364,1.9221,1,43.0,1
96,2005,76,74.0,77,76,65,65.0,79,57,64,1.8726,2.1455,2.25,0,84.0,1
97,2005,67,77.0,74,75,67,67.0,76,72,67,2.0566,1.9727,2.0492,0,69.0,1
98,2005,59,56.0,63,63,51,60.0,74,55,61,2.2736,2.4273,2.2951,1,50.0,0
99,2005,79,77.0,82,88,76,82.0,89,75,79,1.5047,1.7409,1.7172,0,94.0,1
100,2005,79,79.0,79,90,83,81.0,91,84,81,1.4104,1.55,1.582,0,84.0,1
101,2005,77,76.0,79,69,63,61.0,77,61,71,1.8915,2.0273,1.9016,0,75.0,1
102,2005,74,82.0,78,86,81,82.0,90,86,79,1.5377,1.5682,1.6475,0,81.0,1
103,2005,83,84.0,89,93,91,90.0,90,88,85,1.4481,1.4091,1.3811,1,93.0,1
104,2005,73,74.0,80,73,60,69.0,76,73,66,2.0283,2.0409,2.041,1,91.0,1
105,2005,76,84.0,74,84,77,74.0,85,78,70,1.7028,1.7365,2.123,0,87.0,1
106,2005,81,77.0,74,84,71,77.0,82,70,71,1.6085,1.8455,1.8934,1,69.0,1
107,2005,65,71.0,70,85,79,79.0,79,72,78,1.8491,1.8773,1.873,1,57.0,1
108,2005,47,51.0,57,63,48,52.0,66,48,57,2.4906,2.5182,2.5902,0,48.0,0
109,2005,69,67.0,61,61,48,57.0,80,62,57,2.2547,2.4545,2.4795,0,75.0,0
110,2005,55,66.0,61,69,73,58.0,70,69,65,2.4387,2.2273,2.3197,0,57.0,0
111,2005,76,79.0,80,80,70,76.0,84,80,76,1.6321,1.6955,1.7459,0,87.0,1
